testfile,Naive_CPDP_NB,Zscore_CPDP_NB,Zscore_SMOTE_CPDP_NB,Zscore_SMOTE_iFF_CPDP_NB,Zscore_WiFF_CPDP_NB,Zscore_WiFFplusL_CPDP_NB
arc-1.csv,0.360310928,0.360310928,0.493081761,0.645331117,0.625264047,0.643026005
arc-1.csv,0.360310928,0.360310928,0.568814638,0.642036806,0.586096568,0.636005626
arc-1.csv,0.360310928,0.360310928,0.407061267,0.643026005,0.625303095,0.623942652
arc-1.csv,0.310040919,0.310040919,0.406613047,0.650034083,0.64,0.636005626
arc-1.csv,0.310040919,0.310040919,0.360310928,0.628930818,0.528895053,0.649889989
arc-1.csv,0.360310928,0.360310928,0.568814638,0.623138603,0.615848407,0.631235828
arc-1.csv,0.310040919,0.310040919,0.407061267,0.559139785,0.635880213,0.638363458
arc-1.csv,0.360310928,0.360310928,0.492424242,0.621541081,0.634328358,0.620957309
arc-1.csv,0.310040919,0.310040919,0.451352907,0.646065101,0.642036806,0.640703518
arc-1.csv,0.360310928,0.360310928,0.569692165,0.659340659,0.599388379,0.638363458
arc-1.csv,0.310040919,0.310040919,0.360310928,0.652144129,0.628930818,0.625303095
arc-1.csv,0.360310928,0.360310928,0.493081761,0.619107217,0.637860082,0.647619048
arc-1.csv,0.360310928,0.360310928,0.531697342,0.584610892,0.648056924,0.640703518
arc-1.csv,0.360310928,0.360310928,0.568814638,0.612734717,0.530079804,0.631235828
arc-1.csv,0.310040919,0.310040919,0.567930805,0.610021786,0.515180879,0.621473805
arc-1.csv,0.360310928,0.360310928,0.568814638,0.62745098,0.525280899,0.631235828
arc-1.csv,0.360310928,0.360310928,0.406613047,0.665326364,0.571920758,0.633629818
arc-1.csv,0.310040919,0.310040919,0.406613047,0.628930818,0.639606396,0.643026005
camel-1.6.csv,0.207800386,0.207800386,0.270174191,0.53993742,0.401142857,0.583444461
camel-1.6.csv,0.207864948,0.207864948,0.247740515,0.466392318,0.444969064,0.518877969
camel-1.6.csv,0.216144253,0.216144253,0.255717743,0.436912915,0.455400813,0.583463121
camel-1.6.csv,0.207864948,0.207864948,0.247934208,0.399742273,0.419524133,0.572635246
camel-1.6.csv,0.20789711,0.20789711,0.262625329,0.475178595,0.447578762,0.568599768
camel-1.6.csv,0.207864948,0.207864948,0.247691793,0.412221446,0.433790582,0.568080297
camel-1.6.csv,0.232661558,0.232661558,0.248078235,0.468212824,0.392005525,0.582081414
camel-1.6.csv,0.216179222,0.216179222,0.240191799,0.505317871,0.441843573,0.519928478
camel-1.6.csv,0.216179222,0.216179222,0.255458401,0.435475236,0.435697797,0.524861352
camel-1.6.csv,0.199430462,0.199430462,0.247934208,0.421346985,0.410795848,0.560530438
camel-1.6.csv,0.216283616,0.216283616,0.248078235,0.451848956,0.403252207,0.536397702
camel-1.6.csv,0.207961198,0.207961198,0.247934208,0.513982204,0.481356059,0.527844672
camel-1.6.csv,0.207864948,0.207864948,0.247934208,0.417451707,0.439367863,0.528896012
camel-1.6.csv,0.216214105,0.216214105,0.255458401,0.500504171,0.509051987,0.579402322
camel-1.6.csv,0.216248903,0.216248903,0.24001257,0.457754551,0.433884882,0.572714015
camel-1.6.csv,0.208088436,0.208088436,0.232045214,0.496720199,0.47721343,0.519675444
camel-1.6.csv,0.207864948,0.207864948,0.239324449,0.537869944,0.447728388,0.5616284
camel-1.6.csv,0.207832707,0.207832707,0.247396918,0.455928362,0.441666226,0.542566456
camel-1.6.csv,0.207961198,0.207961198,0.231961307,0.523014638,0.404887565,0.496613995
camel-1.6.csv,0.207864948,0.207864948,0.247934208,0.494201366,0.451290952,0.497637795
camel-1.6.csv,0.207864948,0.207864948,0.239967487,0.473210885,0.462055447,0.573403216
camel-1.6.csv,0.207864948,0.207864948,0.247934208,0.44342216,0.503084443,0.575459659
camel-1.6.csv,0.207864948,0.207864948,0.254876463,0.444276102,0.43931287,0.566770027
camel-1.6.csv,0.208024972,0.208024972,0.247982334,0.584990378,0.426239799,0.581074954
camel-1.6.csv,0.207864948,0.207864948,0.247885963,0.489201199,0.447578762,0.579652483
camel-1.6.csv,0.199577758,0.199577758,0.247982334,0.445476375,0.419471717,0.568093385
camel-1.6.csv,0.207767985,0.207767985,0.277823206,0.490653523,0.445429915,0.537838138
camel-1.6.csv,0.207832707,0.207832707,0.247495697,0.459316205,0.432990509,0.573146293
camel-1.6.csv,0.207864948,0.207864948,0.247885963,0.407700532,0.405119644,0.574424172
camel-1.6.csv,0.208056743,0.208056743,0.240057543,0.430149158,0.407349373,0.536961709
ivy-2.0.csv,0.602961918,0.602961918,0.59507722,0.643656716,0.637301193,0.68596882
ivy-2.0.csv,0.604351895,0.604351895,0.596541787,0.653506621,0.621542008,0.700797872
ivy-2.0.csv,0.60155881,0.60155881,0.592105263,0.616743472,0.618820803,0.702302632
ivy-2.0.csv,0.603658537,0.603658537,0.596541787,0.658227848,0.560687433,0.654243119
ivy-2.0.csv,0.604351895,0.604351895,0.596541787,0.64359352,0.631147541,0.695364238
ivy-2.0.csv,0.60155881,0.60155881,0.596541787,0.743274979,0.634469697,0.661731207
ivy-2.0.csv,0.602262017,0.602262017,0.593598448,0.700715244,0.61468604,0.710219922
ivy-2.0.csv,0.604351895,0.604351895,0.597268807,0.648330059,0.625766871,0.7
ivy-2.0.csv,0.602262017,0.602262017,0.597268807,0.660259491,0.612143585,0.702302632
ivy-2.0.csv,0.600852273,0.600852273,0.593598448,0.61682243,0.559773829,0.703125
ivy-2.0.csv,0.60155881,0.60155881,0.593598448,0.711413043,0.678824363,0.693030973
ivy-2.0.csv,0.60155881,0.60155881,0.597268807,0.626442549,0.632153614,0.681208054
ivy-2.0.csv,0.603658537,0.603658537,0.59507722,0.718142549,0.67198666,0.649580615
ivy-2.0.csv,0.602961918,0.602961918,0.597268807,0.627627628,0.649630542,0.691537762
ivy-2.0.csv,0.603658537,0.603658537,0.597268807,0.687331536,0.613293444,0.707865169
ivy-2.0.csv,0.602262017,0.602262017,0.59507722,0.69857841,0.642857143,0.69352014
ivy-2.0.csv,0.602262017,0.602262017,0.594339623,0.711749233,0.627231005,0.695364238
ivy-2.0.csv,0.602262017,0.602262017,0.595811266,0.646971935,0.606498195,0.711413043
ivy-2.0.csv,0.603658537,0.603658537,0.595811266,0.704081633,0.630850528,0.705500217
ivy-2.0.csv,0.603658537,0.603658537,0.597992352,0.647102526,0.622892182,0.673796791
ivy-2.0.csv,0.602262017,0.602262017,0.596541787,0.716763006,0.721469174,0.683195592
ivy-2.0.csv,0.602262017,0.602262017,0.59507722,0.638572137,0.621778351,0.678811659
