testfile,Naive_CPDP_RF,Zscore_CPDP_RF,Zscore_SMOTE_CPDP_RF,Zscore_SMOTE_iFF_CPDP_RF,Zscore_WiFF_CPDP_RF,Zscore_WiFFplusL_CPDP_RF
ivy-2.0.csv,0.366492147,0.41025641,0.450643777,0.197044335,0.375586854,0.576271186
ivy-2.0.csv,0.319148936,0.345744681,0.52173913,0.25,0.344827586,0.540983607
ivy-2.0.csv,0.386597938,0.366492147,0.472972973,0.241545894,0.257009346,0.562913907
ivy-2.0.csv,0.342105263,0.37037037,0.470852018,0.23923445,0.2,0.546357616
ivy-2.0.csv,0.340314136,0.315789474,0.541125541,0.19047619,0.188679245,0.568561873
ivy-2.0.csv,0.390625,0.364583333,0.536480687,0.245098039,0.36199095,0.568181818
ivy-2.0.csv,0.340314136,0.336787565,0.50660793,0.195121951,0.288461538,0.548172757
ivy-2.0.csv,0.38071066,0.360824742,0.547945205,0.231958763,0.268292683,0.542372881
ivy-2.0.csv,0.378787879,0.358974359,0.452586207,0.330188679,0.221674877,0.55
ivy-2.0.csv,0.360824742,0.340314136,0.543933054,0.291262136,0.314009662,0.562700965
ivy-2.0.csv,0.338541667,0.286458333,0.508849558,0.175,0.255813953,0.553691275
ivy-2.0.csv,0.360824742,0.362694301,0.526315789,0.173267327,0.347222222,0.537459283
ivy-2.0.csv,0.362694301,0.368421053,0.535714286,0.256410256,0.375586854,0.592334495
ivy-2.0.csv,0.406091371,0.360824742,0.555555556,0.207253886,0.285714286,0.546075085
ivy-2.0.csv,0.364583333,0.362694301,0.480349345,0.23923445,0.422535211,0.576271186
ivy-2.0.csv,0.390625,0.338541667,0.530973451,0.277777778,0.276497696,0.572390572
ivy-2.0.csv,0.338541667,0.386597938,0.555555556,0.175,0.349344978,0.566666667
ivy-2.0.csv,0.406091371,0.358974359,0.477272727,0.152284264,0.221674877,0.544217687
ivy-2.0.csv,0.41025641,0.41025641,0.543478261,0.218446602,0.424107143,0.572390572
ivy-2.0.csv,0.336787565,0.360824742,0.519480519,0.268292683,0.288461538,0.55
ivy-2.0.csv,0.386597938,0.390625,0.534188034,0.330188679,0.409090909,0.576271186
ivy-2.0.csv,0.362694301,0.319148936,0.557939914,0.321100917,0.358744395,0.559322034
ivy-2.0.csv,0.294117647,0.295698925,0.452488688,0.272277228,0.319634703,0.551948052
ivy-2.0.csv,0.364583333,0.392670157,0.557939914,0.324074074,0.4,0.55
ivy-2.0.csv,0.317460317,0.320855615,0.474137931,0.223880597,0.35046729,0.542372881
