testfile,Naive_CPDP_NB,Zscore_CPDP_NB,Zscore_SMOTE_CPDP_NB,Zscore_SMOTE_iFF_CPDP_NB,Zscore_WiFF_CPDP_NB,Zscore_WiFFplusL_CPDP_NB
arc-1.csv,0.185185185,0.185185185,0.222222222,0.555555556,0.407407407,0.62962963
arc-1.csv,0.222222222,0.222222222,0.407407407,0.592592593,0.555555556,0.62962963
arc-1.csv,0.185185185,0.185185185,0.259259259,0.444444444,0.592592593,0.62962963
arc-1.csv,0.222222222,0.222222222,0.333333333,0.555555556,0.555555556,0.592592593
arc-1.csv,0.185185185,0.185185185,0.296296296,0.592592593,0.592592593,0.62962963
arc-1.csv,0.222222222,0.222222222,0.407407407,0.666666667,0.518518519,0.62962963
arc-1.csv,0.185185185,0.185185185,0.222222222,0.62962963,0.555555556,0.592592593
arc-1.csv,0.222222222,0.222222222,0.333333333,0.518518519,0.555555556,0.62962963
arc-1.csv,0.222222222,0.222222222,0.37037037,0.481481481,0.592592593,0.62962963
arc-1.csv,0.222222222,0.222222222,0.407407407,0.518518519,0.407407407,0.62962963
arc-1.csv,0.185185185,0.185185185,0.407407407,0.555555556,0.407407407,0.62962963
arc-1.csv,0.222222222,0.222222222,0.407407407,0.592592593,0.407407407,0.62962963
arc-1.csv,0.222222222,0.222222222,0.259259259,0.62962963,0.444444444,0.62962963
arc-1.csv,0.185185185,0.185185185,0.259259259,0.555555556,0.555555556,0.62962963
camel-1.6.csv,0.117021277,0.117021277,0.159574468,0.446808511,0.276595745,0.537234043
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.361702128,0.324468085,0.45212766
camel-1.6.csv,0.122340426,0.122340426,0.14893617,0.319148936,0.335106383,0.531914894
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.271276596,0.29787234,0.54787234
camel-1.6.csv,0.117021277,0.117021277,0.154255319,0.361702128,0.329787234,0.515957447
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.292553191,0.319148936,0.515957447
camel-1.6.csv,0.132978723,0.132978723,0.143617021,0.35106383,0.265957447,0.521276596
camel-1.6.csv,0.122340426,0.122340426,0.138297872,0.388297872,0.329787234,0.436170213
camel-1.6.csv,0.122340426,0.122340426,0.14893617,0.308510638,0.308510638,0.45212766
camel-1.6.csv,0.111702128,0.111702128,0.143617021,0.313829787,0.281914894,0.521276596
camel-1.6.csv,0.122340426,0.122340426,0.143617021,0.324468085,0.276595745,0.468085106
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.409574468,0.356382979,0.446808511
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.292553191,0.313829787,0.45212766
camel-1.6.csv,0.122340426,0.122340426,0.14893617,0.414893617,0.441489362,0.542553191
camel-1.6.csv,0.122340426,0.122340426,0.138297872,0.335106383,0.313829787,0.515957447
camel-1.6.csv,0.117021277,0.117021277,0.132978723,0.382978723,0.356382979,0.420212766
camel-1.6.csv,0.117021277,0.117021277,0.138297872,0.436170213,0.324468085,0.521276596
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.335106383,0.319148936,0.489361702
camel-1.6.csv,0.117021277,0.117021277,0.132978723,0.420212766,0.281914894,0.409574468
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.388297872,0.340425532,0.420212766
camel-1.6.csv,0.117021277,0.117021277,0.138297872,0.356382979,0.35106383,0.526595745
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.340425532,0.39893617,0.531914894
camel-1.6.csv,0.117021277,0.117021277,0.14893617,0.335106383,0.345744681,0.537234043
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.510638298,0.29787234,0.521276596
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.382978723,0.329787234,0.537234043
camel-1.6.csv,0.111702128,0.111702128,0.143617021,0.324468085,0.308510638,0.5
camel-1.6.csv,0.117021277,0.117021277,0.164893617,0.377659574,0.329787234,0.457446809
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.35106383,0.308510638,0.553191489
camel-1.6.csv,0.117021277,0.117021277,0.143617021,0.281914894,0.276595745,0.521276596
camel-1.6.csv,0.117021277,0.117021277,0.138297872,0.303191489,0.287234043,0.457446809
ivy-2.0.csv,0.45,0.45,0.45,0.625,0.575,0.875
ivy-2.0.csv,0.45,0.45,0.45,0.65,0.575,0.85
ivy-2.0.csv,0.45,0.45,0.45,0.55,0.575,0.875
ivy-2.0.csv,0.45,0.45,0.45,0.65,0.45,0.875
ivy-2.0.csv,0.45,0.45,0.45,0.575,0.55,0.875
ivy-2.0.csv,0.45,0.45,0.45,0.825,0.625,0.875
ivy-2.0.csv,0.45,0.45,0.45,0.825,0.575,0.9
ivy-2.0.csv,0.45,0.45,0.45,0.6,0.6,0.875
