testfile,Naive_CPDP_LR,Zscore_CPDP_LR,Zscore_SMOTE_CPDP_LR,Zscore_SMOTE_iFF_CPDP_LR,Zscore_WiFF_CPDP_LR,Zscore_WiFFplusL_CPDP_LR
ivy-2.0.csv,0.03525641,0.03525641,0.189102564,0.275641026,0.262820513,0.458333333
ivy-2.0.csv,0.032051282,0.032051282,0.195512821,0.262820513,0.233974359,0.41025641
ivy-2.0.csv,0.032051282,0.032051282,0.195512821,0.25,0.182692308,0.442307692
ivy-2.0.csv,0.032051282,0.032051282,0.217948718,0.307692308,0.25,0.407051282
ivy-2.0.csv,0.032051282,0.032051282,0.224358974,0.259615385,0.262820513,0.432692308
ivy-2.0.csv,0.032051282,0.032051282,0.217948718,0.243589744,0.25,0.435897436
ivy-2.0.csv,0.03525641,0.03525641,0.208333333,0.25,0.21474359,0.461538462
ivy-2.0.csv,0.032051282,0.032051282,0.21474359,0.246794872,0.259615385,0.448717949
ivy-2.0.csv,0.032051282,0.032051282,0.208333333,0.256410256,0.243589744,0.480769231
ivy-2.0.csv,0.032051282,0.032051282,0.230769231,0.275641026,0.246794872,0.394230769
ivy-2.0.csv,0.03525641,0.03525641,0.195512821,0.259615385,0.221153846,0.439102564
ivy-2.0.csv,0.032051282,0.032051282,0.221153846,0.253205128,0.262820513,0.442307692
ivy-2.0.csv,0.032051282,0.032051282,0.205128205,0.246794872,0.217948718,0.423076923
ivy-2.0.csv,0.032051282,0.032051282,0.217948718,0.266025641,0.233974359,0.512820513
ivy-2.0.csv,0.032051282,0.032051282,0.227564103,0.272435897,0.246794872,0.496794872
ivy-2.0.csv,0.032051282,0.032051282,0.185897436,0.275641026,0.266025641,0.432692308
ivy-2.0.csv,0.032051282,0.032051282,0.227564103,0.272435897,0.224358974,0.416666667
ivy-2.0.csv,0.032051282,0.032051282,0.211538462,0.278846154,0.217948718,0.384615385
ivy-2.0.csv,0.038461538,0.038461538,0.208333333,0.262820513,0.240384615,0.451923077
ivy-2.0.csv,0.032051282,0.032051282,0.211538462,0.28525641,0.230769231,0.413461538
ivy-2.0.csv,0.032051282,0.032051282,0.195512821,0.25,0.240384615,0.429487179
ivy-2.0.csv,0.032051282,0.032051282,0.211538462,0.278846154,0.25,0.46474359
ivy-2.0.csv,0.032051282,0.032051282,0.21474359,0.288461538,0.25,0.394230769
ivy-2.0.csv,0.032051282,0.032051282,0.21474359,0.314102564,0.294871795,0.423076923
ivy-2.0.csv,0.032051282,0.032051282,0.224358974,0.317307692,0.233974359,0.455128205
ivy-2.0.csv,0.032051282,0.032051282,0.208333333,0.269230769,0.233974359,0.426282051
ivy-2.0.csv,0.028846154,0.028846154,0.195512821,0.259615385,0.269230769,0.448717949
jedit-4.3.csv,0.158004158,0.155925156,0.503118503,0.561330561,0.565488565,0.652806653
jedit-4.3.csv,0.16008316,0.155925156,0.494802495,0.557172557,0.538461538,0.627858628
jedit-4.3.csv,0.168399168,0.166320166,0.517671518,0.575883576,0.575883576,0.688149688
jedit-4.3.csv,0.158004158,0.158004158,0.492723493,0.548856549,0.513513514,0.675675676
jedit-4.3.csv,0.158004158,0.158004158,0.505197505,0.553014553,0.557172557,0.686070686
jedit-4.3.csv,0.158004158,0.155925156,0.494802495,0.563409563,0.525987526,0.648648649
jedit-4.3.csv,0.16008316,0.16008316,0.511434511,0.553014553,0.523908524,0.663201663
jedit-4.3.csv,0.16008316,0.155925156,0.503118503,0.56964657,0.544698545,0.694386694
jedit-4.3.csv,0.158004158,0.158004158,0.492723493,0.517671518,0.517671518,0.644490644
jedit-4.3.csv,0.166320166,0.164241164,0.51975052,0.546777547,0.553014553,0.652806653
jedit-4.3.csv,0.162162162,0.162162162,0.503118503,0.538461538,0.505197505,0.681912682
jedit-4.3.csv,0.16008316,0.16008316,0.515592516,0.565488565,0.536382536,0.69022869
jedit-4.3.csv,0.16008316,0.16008316,0.498960499,0.538461538,0.534303534,0.683991684
jedit-4.3.csv,0.16008316,0.16008316,0.494802495,0.546777547,0.513513514,0.659043659
jedit-4.3.csv,0.162162162,0.162162162,0.503118503,0.575883576,0.548856549,0.663201663
jedit-4.3.csv,0.164241164,0.162162162,0.505197505,0.557172557,0.51975052,0.642411642
jedit-4.3.csv,0.158004158,0.155925156,0.503118503,0.525987526,0.557172557,0.648648649
jedit-4.3.csv,0.162162162,0.16008316,0.517671518,0.573804574,0.565488565,0.692307692
jedit-4.3.csv,0.14968815,0.14968815,0.513513514,0.596673597,0.577962578,0.665280665
jedit-4.3.csv,0.158004158,0.147609148,0.515592516,0.548856549,0.538461538,0.661122661
jedit-4.3.csv,0.16008316,0.158004158,0.51975052,0.571725572,0.546777547,0.67983368
jedit-4.3.csv,0.155925156,0.155925156,0.486486486,0.532224532,0.48024948,0.632016632
jedit-4.3.csv,0.151767152,0.153846154,0.492723493,0.559251559,0.555093555,0.673596674
jedit-4.3.csv,0.166320166,0.164241164,0.503118503,0.555093555,0.544698545,0.659043659
jedit-4.3.csv,0.162162162,0.16008316,0.496881497,0.59043659,0.536382536,0.650727651
jedit-4.3.csv,0.162162162,0.162162162,0.507276507,0.559251559,0.546777547,0.661122661
jedit-4.3.csv,0.155925156,0.153846154,0.486486486,0.563409563,0.503118503,0.683991684
jedit-4.3.csv,0.162162162,0.158004158,0.501039501,0.542619543,0.565488565,0.654885655
jedit-4.3.csv,0.158004158,0.158004158,0.505197505,0.559251559,0.515592516,0.665280665
jedit-4.3.csv,0.16008316,0.158004158,0.509355509,0.58004158,0.509355509,0.648648649
log4j-1.1.csv,0,0,0.194444444,0.25,0.208333333,0.402777778
log4j-1.1.csv,0,0,0.180555556,0.194444444,0.166666667,0.361111111
log4j-1.1.csv,0,0,0.138888889,0.25,0.208333333,0.361111111
log4j-1.1.csv,0,0,0.194444444,0.277777778,0.25,0.402777778
log4j-1.1.csv,0,0,0.208333333,0.222222222,0.208333333,0.388888889
log4j-1.1.csv,0,0,0.208333333,0.25,0.263888889,0.444444444
log4j-1.1.csv,0,0,0.180555556,0.25,0.25,0.458333333
log4j-1.1.csv,0,0,0.194444444,0.305555556,0.263888889,0.402777778
log4j-1.1.csv,0,0,0.25,0.25,0.277777778,0.444444444
log4j-1.1.csv,0,0,0.222222222,0.291666667,0.25,0.416666667
log4j-1.1.csv,0,0,0.180555556,0.236111111,0.222222222,0.402777778
log4j-1.1.csv,0,0,0.111111111,0.166666667,0.208333333,0.458333333
log4j-1.1.csv,0,0,0.111111111,0.194444444,0.125,0.444444444
log4j-1.1.csv,0,0,0.152777778,0.208333333,0.208333333,0.347222222
log4j-1.1.csv,0,0,0.222222222,0.263888889,0.208333333,0.430555556
log4j-1.1.csv,0,0,0.166666667,0.194444444,0.194444444,0.402777778
log4j-1.1.csv,0,0,0.25,0.25,0.277777778,0.333333333
log4j-1.1.csv,0,0,0.263888889,0.291666667,0.263888889,0.444444444
log4j-1.1.csv,0,0,0.180555556,0.263888889,0.277777778,0.430555556
log4j-1.1.csv,0,0,0.180555556,0.263888889,0.194444444,0.361111111
log4j-1.1.csv,0,0,0.166666667,0.208333333,0.180555556,0.388888889
log4j-1.1.csv,0,0,0.208333333,0.236111111,0.277777778,0.416666667
log4j-1.1.csv,0,0,0.152777778,0.194444444,0.166666667,0.402777778
log4j-1.1.csv,0,0,0.180555556,0.208333333,0.236111111,0.430555556
log4j-1.1.csv,0,0,0.194444444,0.236111111,0.166666667,0.375
log4j-1.1.csv,0,0,0.208333333,0.263888889,0.25,0.444444444
log4j-1.1.csv,0,0,0.222222222,0.236111111,0.208333333,0.375
log4j-1.1.csv,0,0,0.166666667,0.222222222,0.208333333,0.333333333
log4j-1.1.csv,0,0,0.208333333,0.25,0.222222222,0.458333333
log4j-1.1.csv,0,0,0.166666667,0.25,0.166666667,0.402777778
lucene-2.0.csv,0,0,0.153846154,0.221153846,0.201923077,0.490384615
lucene-2.0.csv,0,0,0.211538462,0.221153846,0.173076923,0.403846154
lucene-2.0.csv,0,0,0.211538462,0.259615385,0.192307692,0.461538462
lucene-2.0.csv,0,0,0.182692308,0.086538462,0.134615385,0.384615385
lucene-2.0.csv,0,0,0.201923077,0.25,0.278846154,0.442307692
lucene-2.0.csv,0,0,0.182692308,0.182692308,0.192307692,0.451923077
lucene-2.0.csv,0,0,0.230769231,0.259615385,0.115384615,0.442307692
lucene-2.0.csv,0,0,0.182692308,0.211538462,0.173076923,0.394230769
