testfile,Naive_CPDP_RF,Zscore_CPDP_RF,Zscore_SMOTE_CPDP_RF,Zscore_SMOTE_iFF_CPDP_RF,Zscore_WiFFplusL_CPDP_RF,Zscore_WiFF_CPDP_RF
arc-1.csv,0.024154589,0.024154589,0.086956522,0.077294686,0.193236715,0.038647343
arc-1.csv,0.028985507,0.028985507,0.06763285,0.033816425,0.260869565,0.057971014
arc-1.csv,0.019323671,0.024154589,0.072463768,0.033816425,0.169082126,0.06763285
arc-1.csv,0.033816425,0.028985507,0.077294686,0.062801932,0.149758454,0.028985507
arc-1.csv,0.028985507,0.028985507,0.077294686,0.053140097,0.246376812,0.057971014
arc-1.csv,0.028985507,0.028985507,0.06763285,0.048309179,0.178743961,0.038647343
arc-1.csv,0.028985507,0.028985507,0.072463768,0.057971014,0.207729469,0.028985507
camel-1.6.csv,0.051480051,0.046332046,0.164736165,0.177606178,0.321750322,0.099099099
camel-1.6.csv,0.05019305,0.05019305,0.151866152,0.131274131,0.314028314,0.105534106
camel-1.6.csv,0.06048906,0.055341055,0.187902188,0.118404118,0.324324324,0.104247104
camel-1.6.csv,0.061776062,0.06048906,0.167310167,0.099099099,0.312741313,0.137709138
camel-1.6.csv,0.057915058,0.059202059,0.176319176,0.160875161,0.343629344,0.157014157
camel-1.6.csv,0.047619048,0.045045045,0.181467181,0.168597169,0.348777349,0.141570142
camel-1.6.csv,0.081081081,0.081081081,0.189189189,0.142857143,0.328185328,0.141570142
camel-1.6.csv,0.06048906,0.057915058,0.186615187,0.211068211,0.317889318,0.157014157
camel-1.6.csv,0.075933076,0.074646075,0.196911197,0.12998713,0.332046332,0.162162162
camel-1.6.csv,0.077220077,0.077220077,0.175032175,0.120978121,0.272844273,0.144144144
camel-1.6.csv,0.05019305,0.057915058,0.191763192,0.138996139,0.274131274,0.104247104
camel-1.6.csv,0.061776062,0.055341055,0.167310167,0.132561133,0.414414414,0.12998713
camel-1.6.csv,0.056628057,0.054054054,0.177606178,0.135135135,0.334620335,0.126126126
camel-1.6.csv,0.043758044,0.048906049,0.157014157,0.18018018,0.334620335,0.122265122
camel-1.6.csv,0.043758044,0.055341055,0.193050193,0.149292149,0.342342342,0.175032175
camel-1.6.csv,0.052767053,0.047619048,0.163449163,0.133848134,0.290862291,0.1003861
