testfile,Naive_CPDP_RF,Zscore_CPDP_RF,Zscore_SMOTE_CPDP_RF,Zscore_SMOTE_iFF_CPDP_RF,Zscore_WiFF_CPDP_RF,Zscore_WiFFplusL_CPDP_RF
camel-1.6.csv,0.095744681,0.079787234,0.281914894,0.191489362,0.143617021,0.478723404
ivy-2.0.csv,0.375,0.375,0.575,0.2,0.325,0.875
ivy-2.0.csv,0.35,0.35,0.575,0.375,0.275,0.85
ivy-2.0.csv,0.325,0.325,0.575,0.2,0.3,0.825
ivy-2.0.csv,0.35,0.4,0.525,0.2,0.4,0.85
ivy-2.0.csv,0.3,0.325,0.6,0.25,0.35,0.825
ivy-2.0.csv,0.375,0.35,0.525,0.25,0.275,0.85
ivy-2.0.csv,0.325,0.35,0.525,0.25,0.2,0.825
ivy-2.0.csv,0.325,0.3,0.625,0.2,0.2,0.85
ivy-2.0.csv,0.375,0.35,0.625,0.25,0.4,0.875
ivy-2.0.csv,0.325,0.325,0.575,0.2,0.3,0.825
ivy-2.0.csv,0.375,0.35,0.6,0.225,0.275,0.8
ivy-2.0.csv,0.375,0.35,0.525,0.35,0.225,0.825
ivy-2.0.csv,0.35,0.325,0.65,0.3,0.325,0.875
ivy-2.0.csv,0.325,0.275,0.575,0.175,0.275,0.825
ivy-2.0.csv,0.35,0.35,0.6,0.175,0.375,0.825
ivy-2.0.csv,0.35,0.35,0.6,0.25,0.4,0.85
ivy-2.0.csv,0.4,0.35,0.625,0.2,0.3,0.8
ivy-2.0.csv,0.35,0.35,0.55,0.25,0.45,0.85
ivy-2.0.csv,0.375,0.325,0.6,0.3,0.3,0.85
ivy-2.0.csv,0.325,0.375,0.65,0.175,0.4,0.85
ivy-2.0.csv,0.4,0.35,0.525,0.15,0.225,0.8
ivy-2.0.csv,0.4,0.4,0.625,0.225,0.475,0.85
ivy-2.0.csv,0.325,0.35,0.6,0.275,0.3,0.825
ivy-2.0.csv,0.375,0.375,0.625,0.35,0.45,0.85
ivy-2.0.csv,0.35,0.3,0.65,0.35,0.4,0.825
ivy-2.0.csv,0.275,0.275,0.5,0.275,0.35,0.85
ivy-2.0.csv,0.35,0.375,0.65,0.35,0.45,0.825
ivy-2.0.csv,0.3,0.3,0.55,0.225,0.375,0.8
ivy-2.0.csv,0.35,0.375,0.55,0.45,0.225,0.875
ivy-2.0.csv,0.325,0.325,0.5,0.15,0.275,0.85
jedit-4.3.csv,0.545454545,0.454545455,0.545454545,0.090909091,0.272727273,0.636363636
jedit-4.3.csv,0.545454545,0.545454545,0.545454545,0.090909091,0.363636364,0.636363636
jedit-4.3.csv,0.454545455,0.454545455,0.545454545,0.545454545,0.090909091,0.636363636
jedit-4.3.csv,0.545454545,0.545454545,0.545454545,0.090909091,0.090909091,0.636363636
jedit-4.3.csv,0.454545455,0.454545455,0.545454545,0,0.090909091,0.636363636
jedit-4.3.csv,0.454545455,0.454545455,0.545454545,0.090909091,0.454545455,0.636363636
jedit-4.3.csv,0.454545455,0.454545455,0.545454545,0.090909091,0.181818182,0.636363636
jedit-4.3.csv,0.454545455,0.454545455,0.545454545,0.090909091,0.272727273,0.636363636
jedit-4.3.csv,0.454545455,0.454545455,0.545454545,0.090909091,0.181818182,0.636363636
jedit-4.3.csv,0.454545455,0.454545455,0.545454545,0.272727273,0.363636364,0.636363636
jedit-4.3.csv,0.545454545,0.545454545,0.545454545,0.090909091,0.090909091,0.636363636
jedit-4.3.csv,0.454545455,0.454545455,0.454545455,0.090909091,0.272727273,0.636363636
jedit-4.3.csv,0.545454545,0.545454545,0.545454545,0.090909091,0.272727273,0.636363636
jedit-4.3.csv,0.545454545,0.454545455,0.545454545,0,0,0.636363636
jedit-4.3.csv,0.545454545,0.545454545,0.545454545,0.090909091,0.181818182,0.636363636
