clfindex,alpha,numtree,subsamplesize,G-Measure,PD,PF,skewed_F
2,0.3,30,32,61.90%,60.79%,25.90%,45.87%
2,0.3,40,32,61.63%,60.49%,25.85%,45.29%
2,0.3,50,32,62.06%,61.25%,26.10%,46.02%
2,0.3,60,32,61.39%,60.46%,25.85%,45.38%
2,0.3,70,32,62.72%,61.56%,25.76%,46.59%
2,0.3,80,32,61.49%,60.46%,25.86%,45.52%
2,0.3,90,32,61.88%,60.84%,25.72%,45.73%
2,0.3,100,32,61.80%,60.36%,25.56%,45.50%
2,0.3,110,32,62.21%,61.30%,25.97%,46.09%
2,0.3,120,32,61.69%,61.10%,26.15%,45.65%
2,0.3,10,64,60.59%,58.61%,24.85%,44.31%
2,0.3,20,64,60.75%,59.03%,25.22%,44.69%
2,0.3,30,64,61.16%,59.33%,25.08%,44.80%
2,0.3,40,64,61.66%,59.88%,25.07%,45.36%
2,0.3,50,64,61.34%,59.60%,25.06%,45.03%
2,0.3,60,64,61.31%,59.89%,25.59%,45.14%
2,0.3,70,64,61.11%,59.18%,24.97%,44.76%
2,0.3,80,64,61.09%,59.58%,25.22%,44.97%
2,0.3,90,64,61.47%,60.00%,25.26%,45.17%
2,0.3,100,64,61.17%,59.78%,25.40%,45.05%
2,0.3,110,64,61.44%,59.98%,25.40%,45.25%
2,0.3,120,64,61.63%,59.91%,25.56%,45.34%
2,0.3,10,128,61.18%,58.72%,24.72%,44.74%
2,0.3,20,128,60.61%,58.09%,24.47%,44.23%
2,0.3,30,128,60.08%,57.72%,24.37%,43.82%
2,0.3,40,128,60.23%,57.22%,24.15%,43.74%
2,0.3,50,128,59.55%,56.65%,24.20%,43.05%
2,0.3,60,128,59.52%,57.20%,24.59%,43.24%
2,0.3,70,128,60.05%,58.07%,24.81%,43.69%
2,0.3,80,128,60.65%,57.35%,23.80%,43.92%
2,0.3,90,128,60.48%,57.78%,23.80%,44.07%
2,0.3,100,128,60.79%,58.51%,24.23%,44.38%
2,0.3,110,128,59.52%,57.55%,24.98%,43.41%
2,0.3,120,128,60.46%,58.08%,24.58%,44.11%
2,0.3,10,256,59.66%,55.95%,23.60%,42.91%
2,0.3,20,256,59.00%,56.75%,24.65%,42.75%
2,0.3,30,256,59.63%,56.56%,23.87%,42.98%
2,0.3,40,256,59.43%,56.25%,23.89%,42.93%
2,0.3,50,256,59.61%,56.73%,23.50%,43.18%
2,0.3,60,256,59.87%,56.40%,23.52%,43.36%
2,0.3,70,256,59.26%,56.17%,23.63%,42.79%
2,0.3,80,256,59.64%,55.86%,23.66%,42.89%
2,0.3,90,256,59.25%,56.33%,24.31%,42.86%
2,0.3,100,256,59.69%,56.65%,23.96%,43.25%
2,0.3,110,256,59.56%,55.92%,23.73%,42.95%
2,0.3,120,256,58.53%,55.32%,23.63%,42.04%
